Date,Open,High,Low,Close,Adj Close,Volume
2019-03-04,23.000000,23.160000,22.410000,22.549999,21.664383,3345777
2019-03-05,22.469999,22.740000,22.450001,22.610001,21.722029,2473213
2019-03-06,22.570000,22.580000,22.110001,22.270000,21.395380,3306786
2019-03-07,22.639999,22.920000,22.139999,22.360001,21.481846,4781953
2019-03-08,22.200001,22.400000,21.969999,22.129999,21.260878,3145183
2019-03-11,22.530001,22.650000,22.370001,22.469999,21.587524,2928604
2019-03-12,22.690001,22.820000,22.459999,22.690001,21.798885,4121625
2019-03-13,22.719999,22.889999,22.440001,22.830000,21.933388,3255441
2019-03-14,21.950001,22.240000,21.230000,21.389999,20.549940,12332409
2019-03-15,21.590000,21.610001,21.100000,21.129999,20.300152,7369002
2019-03-18,21.200001,21.209999,20.690001,20.730000,19.915861,5212281
2019-03-19,20.799999,20.990000,20.620001,20.850000,20.031149,3579359
2019-03-20,20.870001,20.889999,20.360001,20.440001,19.637251,4418941
2019-03-21,20.100000,20.400000,19.945000,20.070000,19.281782,4565968
2019-03-22,20.160000,20.170000,19.525000,19.650000,18.878277,5868929
2019-03-25,19.559999,19.620001,19.375000,19.514999,18.748579,3052635
2019-03-26,19.549999,19.719999,19.174999,19.510000,18.743776,4610788
2019-03-27,19.580000,19.985001,19.500000,19.799999,19.022385,4523740
2019-03-28,19.825001,19.900000,19.445000,19.590000,18.820633,3566489
2019-03-29,19.639999,19.715000,19.385000,19.565001,18.796616,3494451
2019-04-01,19.660000,19.660000,19.180000,19.620001,18.849457,6210816
2019-04-02,19.610001,19.879999,19.520000,19.834999,19.056011,3446857
2019-04-03,19.980000,20.450001,19.940001,20.280001,19.483536,5094254
2019-04-04,20.299999,20.709999,20.299999,20.629999,19.819788,4726006
2019-04-05,20.660000,20.780001,20.540001,20.700001,19.887041,3926847
2019-04-08,20.709999,20.799999,20.639999,20.690001,19.877434,2070556
2019-04-09,20.680000,20.770000,20.430000,20.590000,19.781361,3485019
2019-04-10,20.660000,20.959999,20.510000,20.879999,20.059969,3660572
2019-04-11,20.969999,21.670000,20.950001,21.530001,20.684444,6242494
2019-04-12,21.570000,21.879999,21.180000,21.719999,20.866980,4486716
2019-04-15,21.790001,22.160000,21.750000,22.080000,21.212843,4309604
2019-04-16,21.000000,22.459999,20.980000,22.280001,21.404989,8980693
2019-04-17,22.360001,22.559999,22.129999,22.299999,21.424202,3502906
2019-04-18,22.209999,22.700001,22.170000,22.590000,21.702812,4005563
2019-04-23,22.520000,22.570000,21.959999,22.129999,21.260878,4379799
2019-04-24,22.020000,22.230000,21.870001,22.010000,21.145592,2689225
2019-04-25,21.959999,22.139999,21.930000,22.059999,21.193628,1891650
2019-04-26,22.120001,22.209999,21.950001,22.120001,21.251272,2502469
2019-04-29,22.160000,22.620001,22.100000,22.209999,21.337736,2878763
2019-04-30,22.129999,22.180000,21.389999,21.520000,20.674835,6131707
2019-05-02,21.670000,21.930000,21.459999,21.530001,20.684444,4539317
2019-05-03,21.389999,21.490000,20.920000,21.080000,20.252115,5116075
2019-05-06,20.600000,20.830000,20.469999,20.830000,20.011934,4003369
2019-05-07,20.900000,20.900000,20.230000,20.370001,19.570002,6680822
2019-05-08,19.650000,19.655001,19.280001,19.465000,19.465000,6090036
2019-05-09,19.400000,19.405001,18.705000,18.850000,18.850000,7774010
2019-05-10,18.945000,19.075001,18.320000,18.475000,18.475000,9055458
2019-05-13,18.480000,18.480000,18.049999,18.219999,18.219999,5392929
2019-05-14,18.350000,18.350000,18.014999,18.190001,18.190001,3692482
2019-05-15,18.264999,18.270000,17.809999,18.065001,18.065001,4176873
2019-05-16,18.084999,18.100000,17.815001,18.100000,18.100000,3876151
